transaction_id,year,transaction_time,transaction_qty,store_id,store_location,product_id,unit_price,product_category,product_type,product_detail,revenue,hour,time_bucket
14,2025,1900-01-01 07:48:19,1,5,Lower Manhattan,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,3.1,7,Morning
15,2025,1900-01-01 07:52:36,2,5,Lower Manhattan,87,3.0,Coffee,Barista Espresso,Ouro Brasileiro shot,6.0,7,Morning
16,2025,1900-01-01 07:59:58,2,5,Lower Manhattan,47,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg,6.0,7,Morning
17,2025,1900-01-01 07:59:58,1,5,Lower Manhattan,79,3.75,Bakery,Scone,Jumbo Savory Scone,3.75,7,Morning
18,2025,1900-01-01 08:00:18,1,8,Hell's Kitchen,42,2.5,Tea,Brewed herbal tea,Lemon Grass Rg,2.5,8,Morning
19,2025,1900-01-01 08:00:39,2,8,Hell's Kitchen,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,9.0,8,Morning
20,2025,1900-01-01 08:11:45,1,8,Hell's Kitchen,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,4.75,8,Morning
21,2025,1900-01-01 08:17:27,2,8,Hell's Kitchen,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg,7.0,8,Morning
22,2025,1900-01-01 08:24:26,2,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,5.1,8,Morning
23,2025,1900-01-01 08:24:26,1,5,Lower Manhattan,69,3.25,Bakery,Biscotti,Hazelnut Biscotti,3.25,8,Morning
24,2025,1900-01-01 08:29:38,1,8,Hell's Kitchen,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,2.55,8,Morning
25,2025,1900-01-01 08:31:23,1,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino,3.75,8,Morning
26,2025,1900-01-01 08:33:08,1,5,Lower Manhattan,43,3.0,Tea,Brewed herbal tea,Lemon Grass Lg,3.0,8,Morning
27,2025,1900-01-01 08:33:08,1,5,Lower Manhattan,76,3.5,Bakery,Biscotti,Chocolate Chip Biscotti,3.5,8,Morning
28,2025,1900-01-01 08:35:03,2,5,Lower Manhattan,45,3.0,Tea,Brewed herbal tea,Peppermint Lg,6.0,8,Morning
29,2025,1900-01-01 08:35:03,1,5,Lower Manhattan,71,3.75,Bakery,Pastry,Chocolate Croissant,3.75,8,Morning
30,2025,1900-01-01 08:41:57,2,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino,7.5,8,Morning
31,2025,1900-01-01 08:52:03,1,8,Hell's Kitchen,38,3.75,Coffee,Barista Espresso,Latte,3.75,8,Morning
32,2025,1900-01-01 08:52:32,1,5,Lower Manhattan,26,3.0,Coffee,Organic brewed coffee,Brazilian Rg,3.0,8,Morning
33,2025,1900-01-01 08:54:33,2,5,Lower Manhattan,27,3.5,Coffee,Organic brewed coffee,Brazilian Lg,7.0,8,Morning
34,2025,1900-01-01 08:56:27,2,5,Lower Manhattan,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,5.0,8,Morning
35,2025,1900-01-01 08:57:46,1,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2.5,8,Morning
36,2025,1900-01-01 08:58:55,1,5,Lower Manhattan,26,3.0,Coffee,Organic brewed coffee,Brazilian Rg,3.0,8,Morning
37,2025,1900-01-01 09:00:12,1,5,Lower Manhattan,55,4.0,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,4.0,9,Morning
38,2025,1900-01-01 09:00:24,2,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino,7.5,9,Morning
39,2025,1900-01-01 09:07:13,1,8,Hell's Kitchen,45,3.0,Tea,Brewed herbal tea,Peppermint Lg,3.0,9,Morning
40,2025,1900-01-01 09:08:09,2,8,Hell's Kitchen,45,3.0,Tea,Brewed herbal tea,Peppermint Lg,6.0,9,Morning
41,2025,1900-01-01 09:08:13,1,8,Hell's Kitchen,24,3.0,Coffee,Drip coffee,Our Old Time Diner Blend Lg,3.0,9,Morning
42,2025,1900-01-01 09:10:30,2,5,Lower Manhattan,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,7.5,9,Morning
43,2025,1900-01-01 09:10:30,1,5,Lower Manhattan,78,4.5,Bakery,Scone,Scottish Cream Scone ,4.5,9,Morning
44,2025,1900-01-01 09:11:06,1,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,2.55,9,Morning
45,2025,1900-01-01 09:11:06,1,5,Lower Manhattan,77,3.0,Bakery,Scone,Oatmeal Scone,3.0,9,Morning
46,2025,1900-01-01 09:13:01,1,5,Lower Manhattan,44,2.5,Tea,Brewed herbal tea,Peppermint Rg,2.5,9,Morning
47,2025,1900-01-01 09:13:15,2,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,5.1,9,Morning
48,2025,1900-01-01 09:14:16,1,5,Lower Manhattan,48,2.5,Tea,Brewed Black tea,English Breakfast Rg,2.5,9,Morning
49,2025,1900-01-01 09:14:17,1,8,Hell's Kitchen,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,2.5,9,Morning
50,2025,1900-01-01 09:14:25,1,8,Hell's Kitchen,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg,2.5,9,Morning
51,2025,1900-01-01 09:14:41,1,8,Hell's Kitchen,32,3.0,Coffee,Gourmet brewed coffee,Ethiopia Rg,3.0,9,Morning
52,2025,1900-01-01 09:15:09,2,5,Lower Manhattan,47,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg,6.0,9,Morning
53,2025,1900-01-01 09:15:13,2,5,Lower Manhattan,43,3.0,Tea,Brewed herbal tea,Lemon Grass Lg,6.0,9,Morning
54,2025,1900-01-01 09:19:21,2,5,Lower Manhattan,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm,4.4,9,Morning
55,2025,1900-01-01 09:19:26,1,8,Hell's Kitchen,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,4.5,9,Morning
56,2025,1900-01-01 09:21:08,1,5,Lower Manhattan,38,3.75,Coffee,Barista Espresso,Latte,3.75,9,Morning
57,2025,1900-01-01 09:22:17,1,8,Hell's Kitchen,45,3.0,Tea,Brewed herbal tea,Peppermint Lg,3.0,9,Morning
58,2025,1900-01-01 09:22:46,1,5,Lower Manhattan,34,2.45,Coffee,Premium brewed coffee,Jamaican Coffee River Sm,2.45,9,Morning
59,2025,1900-01-01 09:29:56,2,8,Hell's Kitchen,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,7.5,9,Morning
60,2025,1900-01-01 09:29:56,1,8,Hell's Kitchen,74,3.5,Bakery,Biscotti,Ginger Biscotti,3.5,9,Morning
61,2025,1900-01-01 09:29:57,1,8,Hell's Kitchen,53,3.0,Tea,Brewed Chai tea,Traditional Blend Chai Lg,3.0,9,Morning
62,2025,1900-01-01 09:34:17,2,8,Hell's Kitchen,41,4.25,Coffee,Barista Espresso,Cappuccino Lg,8.5,9,Morning
63,2025,1900-01-01 09:40:13,1,5,Lower Manhattan,41,4.25,Coffee,Barista Espresso,Cappuccino Lg,4.25,9,Morning
64,2025,1900-01-01 09:41:22,2,5,Lower Manhattan,45,3.0,Tea,Brewed herbal tea,Peppermint Lg,6.0,9,Morning
65,2025,1900-01-01 09:41:22,1,5,Lower Manhattan,79,3.75,Bakery,Scone,Jumbo Savory Scone,3.75,9,Morning
66,2025,1900-01-01 09:44:20,2,5,Lower Manhattan,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,5.0,9,Morning
67,2025,1900-01-01 09:44:46,1,5,Lower Manhattan,24,3.0,Coffee,Drip coffee,Our Old Time Diner Blend Lg,3.0,9,Morning
68,2025,1900-01-01 09:46:46,2,5,Lower Manhattan,37,3.0,Coffee,Barista Espresso,Espresso shot,6.0,9,Morning
69,2025,1900-01-01 09:47:40,2,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino,7.5,9,Morning
70,2025,1900-01-01 09:50:44,2,5,Lower Manhattan,37,3.0,Coffee,Barista Espresso,Espresso shot,6.0,9,Morning
71,2025,1900-01-01 09:50:44,1,5,Lower Manhattan,69,3.25,Bakery,Biscotti,Hazelnut Biscotti,3.25,9,Morning
72,2025,1900-01-01 09:52:58,1,5,Lower Manhattan,50,2.5,Tea,Brewed Black tea,Earl Grey Rg,2.5,9,Morning
73,2025,1900-01-01 09:53:28,1,8,Hell's Kitchen,47,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg,3.0,9,Morning
74,2025,1900-01-01 09:53:44,2,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino,7.5,9,Morning
75,2025,1900-01-01 09:53:44,1,8,Hell's Kitchen,72,3.25,Bakery,Scone,Ginger Scone,3.25,9,Morning
76,2025,1900-01-01 09:53:49,1,8,Hell's Kitchen,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,3.1,9,Morning
77,2025,1900-01-01 09:54:46,1,5,Lower Manhattan,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,2.5,9,Morning
78,2025,1900-01-01 09:55:16,2,5,Lower Manhattan,43,3.0,Tea,Brewed herbal tea,Lemon Grass Lg,6.0,9,Morning
79,2025,1900-01-01 09:56:30,1,8,Hell's Kitchen,22,2.0,Coffee,Drip coffee,Our Old Time Diner Blend Sm,2.0,9,Morning
80,2025,1900-01-01 10:00:39,2,8,Hell's Kitchen,32,3.0,Coffee,Gourmet brewed coffee,Ethiopia Rg,6.0,10,Morning
81,2025,1900-01-01 10:03:55,2,8,Hell's Kitchen,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,7.5,10,Morning
82,2025,1900-01-01 10:14:49,1,5,Lower Manhattan,26,3.0,Coffee,Organic brewed coffee,Brazilian Rg,3.0,10,Morning
83,2025,1900-01-01 10:14:49,1,5,Lower Manhattan,71,3.75,Bakery,Pastry,Chocolate Croissant,3.75,10,Morning
84,2025,1900-01-01 10:16:30,2,5,Lower Manhattan,32,3.0,Coffee,Gourmet brewed coffee,Ethiopia Rg,6.0,10,Morning
85,2025,1900-01-01 10:16:33,1,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2.5,10,Morning
86,2025,1900-01-01 10:18:14,2,8,Hell's Kitchen,41,4.25,Coffee,Barista Espresso,Cappuccino Lg,8.5,10,Morning
87,2025,1900-01-01 10:18:52,2,5,Lower Manhattan,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm,4.4,10,Morning
88,2025,1900-01-01 10:19:42,2,5,Lower Manhattan,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,5.0,10,Morning
89,2025,1900-01-01 10:24:19,1,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2.5,10,Morning
90,2025,1900-01-01 10:25:22,2,8,Hell's Kitchen,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,5.1,10,Morning
91,2025,1900-01-01 10:25:45,2,5,Lower Manhattan,58,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,7.0,10,Morning
92,2025,1900-01-01 10:25:45,1,5,Lower Manhattan,74,3.5,Bakery,Biscotti,Ginger Biscotti,3.5,10,Morning
93,2025,1900-01-01 10:27:48,2,8,Hell's Kitchen,47,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg,6.0,10,Morning
94,2025,1900-01-01 10:30:07,1,5,Lower Manhattan,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,3.1,10,Morning
95,2025,1900-01-01 10:30:07,1,5,Lower Manhattan,70,3.25,Bakery,Scone,Cranberry Scone,3.25,10,Morning
96,2025,1900-01-01 10:35:47,1,8,Hell's Kitchen,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,3.75,10,Morning
97,2025,1900-01-01 10:41:53,1,5,Lower Manhattan,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,4.5,10,Morning
98,2025,1900-01-01 10:47:53,2,5,Lower Manhattan,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,7.5,10,Morning
99,2025,1900-01-01 10:49:13,2,8,Hell's Kitchen,51,3.0,Tea,Brewed Black tea,Earl Grey Lg,6.0,10,Morning
100,2025,1900-01-01 10:49:51,2,5,Lower Manhattan,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,9.5,10,Morning
101,2025,1900-01-01 10:51:17,1,5,Lower Manhattan,47,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg,3.0,10,Morning
102,2025,1900-01-01 10:52:44,2,8,Hell's Kitchen,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,5.0,10,Morning
103,2025,1900-01-01 10:52:44,1,8,Hell's Kitchen,73,3.75,Bakery,Pastry,Almond Croissant,3.75,10,Morning
104,2025,1900-01-01 10:56:14,1,5,Lower Manhattan,38,3.75,Coffee,Barista Espresso,Latte,3.75,10,Morning
105,2025,1900-01-01 10:56:14,1,5,Lower Manhattan,76,3.5,Bakery,Biscotti,Chocolate Chip Biscotti,3.5,10,Morning
106,2025,1900-01-01 11:01:48,1,3,Astoria,22,2.0,Coffee,Drip coffee,Our Old Time Diner Blend Sm,2.0,11,Morning
107,2025,1900-01-01 11:01:58,1,3,Astoria,38,3.75,Coffee,Barista Espresso,Latte,3.75,11,Morning
108,2025,1900-01-01 11:01:58,1,3,Astoria,75,3.5,Bakery,Pastry,Croissant,3.5,11,Morning
109,2025,1900-01-01 11:03:25,2,5,Lower Manhattan,47,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg,6.0,11,Morning
110,2025,1900-01-01 11:03:25,1,5,Lower Manhattan,75,3.5,Bakery,Pastry,Croissant,3.5,11,Morning
111,2025,1900-01-01 11:04:32,2,8,Hell's Kitchen,39,4.25,Coffee,Barista Espresso,Latte Rg,8.5,11,Morning
112,2025,1900-01-01 11:08:11,1,3,Astoria,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,4.5,11,Morning
113,2025,1900-01-01 11:08:59,2,8,Hell's Kitchen,51,3.0,Tea,Brewed Black tea,Earl Grey Lg,6.0,11,Morning
114,2025,1900-01-01 11:09:01,1,3,Astoria,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,4.5,11,Morning
115,2025,1900-01-01 11:10:21,1,3,Astoria,47,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg,3.0,11,Morning
116,2025,1900-01-01 11:10:21,1,3,Astoria,79,3.75,Bakery,Scone,Jumbo Savory Scone,3.75,11,Morning
117,2025,1900-01-01 11:10:58,1,3,Astoria,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg,2.5,11,Morning
118,2025,1900-01-01 11:12:29,1,3,Astoria,43,3.0,Tea,Brewed herbal tea,Lemon Grass Lg,3.0,11,Morning
119,2025,1900-01-01 11:16:02,2,3,Astoria,45,3.0,Tea,Brewed herbal tea,Peppermint Lg,6.0,11,Morning
120,2025,1900-01-01 11:21:00,2,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,5.0,11,Morning
121,2025,1900-01-01 11:21:04,2,5,Lower Manhattan,51,3.0,Tea,Brewed Black tea,Earl Grey Lg,6.0,11,Morning
122,2025,1900-01-01 11:21:14,1,3,Astoria,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,3.75,11,Morning
123,2025,1900-01-01 11:23:01,1,8,Hell's Kitchen,31,2.2,Coffee,Gourmet brewed coffee,Ethiopia Sm,2.2,11,Morning
124,2025,1900-01-01 11:23:43,2,5,Lower Manhattan,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,7.5,11,Morning
125,2025,1900-01-01 11:23:43,1,5,Lower Manhattan,77,3.0,Bakery,Scone,Oatmeal Scone,3.0,11,Morning
126,2025,1900-01-01 11:25:35,2,3,Astoria,49,3.0,Tea,Brewed Black tea,English Breakfast Lg,6.0,11,Morning
127,2025,1900-01-01 11:25:37,2,5,Lower Manhattan,40,3.75,Coffee,Barista Espresso,Cappuccino,7.5,11,Morning
128,2025,1900-01-01 11:28:15,2,8,Hell's Kitchen,44,2.5,Tea,Brewed herbal tea,Peppermint Rg,5.0,11,Morning
129,2025,1900-01-01 11:28:29,2,3,Astoria,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg,7.0,11,Morning
130,2025,1900-01-01 11:29:25,2,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,5.1,11,Morning
131,2025,1900-01-01 11:29:57,2,8,Hell's Kitchen,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,6.2,11,Morning
132,2025,1900-01-01 11:29:57,1,8,Hell's Kitchen,78,4.5,Bakery,Scone,Scottish Cream Scone ,4.5,11,Morning
133,2025,1900-01-01 11:30:22,1,8,Hell's Kitchen,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,2.5,11,Morning
134,2025,1900-01-01 11:31:35,1,8,Hell's Kitchen,24,3.0,Coffee,Drip coffee,Our Old Time Diner Blend Lg,3.0,11,Morning
135,2025,1900-01-01 11:31:43,2,5,Lower Manhattan,51,3.0,Tea,Brewed Black tea,Earl Grey Lg,6.0,11,Morning
136,2025,1900-01-01 11:31:43,1,5,Lower Manhattan,72,3.25,Bakery,Scone,Ginger Scone,3.25,11,Morning
137,2025,1900-01-01 11:31:53,2,5,Lower Manhattan,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,5.0,11,Morning
138,2025,1900-01-01 11:31:53,1,5,Lower Manhattan,75,3.5,Bakery,Pastry,Croissant,3.5,11,Morning
139,2025,1900-01-01 11:39:14,1,5,Lower Manhattan,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,3.75,11,Morning
140,2025,1900-01-01 11:39:14,1,5,Lower Manhattan,71,3.75,Bakery,Pastry,Chocolate Croissant,3.75,11,Morning
141,2025,1900-01-01 11:40:26,2,3,Astoria,52,2.5,Tea,Brewed Chai tea,Traditional Blend Chai Rg,5.0,11,Morning
142,2025,1900-01-01 11:43:57,2,3,Astoria,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm,4.4,11,Morning
143,2025,1900-01-01 11:44:09,1,5,Lower Manhattan,38,3.75,Coffee,Barista Espresso,Latte,3.75,11,Morning
144,2025,1900-01-01 11:47:13,1,3,Astoria,30,3.0,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,3.0,11,Morning
145,2025,1900-01-01 11:48:56,2,8,Hell's Kitchen,50,2.5,Tea,Brewed Black tea,Earl Grey Rg,5.0,11,Morning
146,2025,1900-01-01 11:49:42,1,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2.5,11,Morning
147,2025,1900-01-01 11:49:42,1,8,Hell's Kitchen,72,3.25,Bakery,Scone,Ginger Scone,3.25,11,Morning
148,2025,1900-01-01 11:50:16,2,3,Astoria,26,3.0,Coffee,Organic brewed coffee,Brazilian Rg,6.0,11,Morning
149,2025,1900-01-01 11:50:23,2,3,Astoria,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,7.5,11,Morning
150,2025,1900-01-01 11:50:58,2,5,Lower Manhattan,45,3.0,Tea,Brewed herbal tea,Peppermint Lg,6.0,11,Morning
151,2025,1900-01-01 11:51:30,2,8,Hell's Kitchen,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg,7.0,11,Morning
152,2025,1900-01-01 11:52:31,1,5,Lower Manhattan,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,3.1,11,Morning
153,2025,1900-01-01 11:57:17,2,3,Astoria,37,3.0,Coffee,Barista Espresso,Espresso shot,6.0,11,Morning
154,2025,1900-01-01 11:57:59,1,3,Astoria,50,2.5,Tea,Brewed Black tea,Earl Grey Rg,2.5,11,Morning
155,2025,1900-01-01 11:57:59,1,3,Astoria,79,3.75,Bakery,Scone,Jumbo Savory Scone,3.75,11,Morning
156,2025,1900-01-01 11:58:15,2,3,Astoria,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,7.5,11,Morning
157,2025,1900-01-01 12:00:20,1,5,Lower Manhattan,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,2.5,12,Afternoon
158,2025,1900-01-01 12:01:00,2,3,Astoria,49,3.0,Tea,Brewed Black tea,English Breakfast Lg,6.0,12,Afternoon
159,2025,1900-01-01 12:01:20,2,3,Astoria,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,6.2,12,Afternoon
160,2025,1900-01-01 12:01:20,1,3,Astoria,75,3.5,Bakery,Pastry,Croissant,3.5,12,Afternoon
161,2025,1900-01-01 12:03:09,1,8,Hell's Kitchen,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,3.75,12,Afternoon
162,2025,1900-01-01 12:03:38,1,8,Hell's Kitchen,47,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg,3.0,12,Afternoon
163,2025,1900-01-01 12:03:43,1,3,Astoria,44,2.5,Tea,Brewed herbal tea,Peppermint Rg,2.5,12,Afternoon
164,2025,1900-01-01 12:04:22,2,8,Hell's Kitchen,27,3.5,Coffee,Organic brewed coffee,Brazilian Lg,7.0,12,Afternoon
165,2025,1900-01-01 12:05:31,2,3,Astoria,52,2.5,Tea,Brewed Chai tea,Traditional Blend Chai Rg,5.0,12,Afternoon
166,2025,1900-01-01 12:06:29,1,5,Lower Manhattan,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg,2.5,12,Afternoon
167,2025,1900-01-01 12:07:42,1,8,Hell's Kitchen,24,3.0,Coffee,Drip coffee,Our Old Time Diner Blend Lg,3.0,12,Afternoon
168,2025,1900-01-01 12:08:21,1,5,Lower Manhattan,43,3.0,Tea,Brewed herbal tea,Lemon Grass Lg,3.0,12,Afternoon
169,2025,1900-01-01 12:08:36,1,8,Hell's Kitchen,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,3.1,12,Afternoon
170,2025,1900-01-01 12:09:11,2,3,Astoria,28,2.0,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,4.0,12,Afternoon
171,2025,1900-01-01 12:09:12,2,8,Hell's Kitchen,50,2.5,Tea,Brewed Black tea,Earl Grey Rg,5.0,12,Afternoon
172,2025,1900-01-01 12:13:07,2,5,Lower Manhattan,38,3.75,Coffee,Barista Espresso,Latte,7.5,12,Afternoon
173,2025,1900-01-01 12:14:26,2,8,Hell's Kitchen,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,6.2,12,Afternoon
174,2025,1900-01-01 12:17:38,2,8,Hell's Kitchen,50,2.5,Tea,Brewed Black tea,Earl Grey Rg,5.0,12,Afternoon
175,2025,1900-01-01 12:18:07,2,5,Lower Manhattan,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm,4.4,12,Afternoon
176,2025,1900-01-01 12:18:44,2,3,Astoria,49,3.0,Tea,Brewed Black tea,English Breakfast Lg,6.0,12,Afternoon
177,2025,1900-01-01 12:20:16,2,3,Astoria,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,7.5,12,Afternoon
178,2025,1900-01-01 12:23:39,1,3,Astoria,24,3.0,Coffee,Drip coffee,Our Old Time Diner Blend Lg,3.0,12,Afternoon
179,2025,1900-01-01 12:27:06,2,5,Lower Manhattan,41,4.25,Coffee,Barista Espresso,Cappuccino Lg,8.5,12,Afternoon
180,2025,1900-01-01 12:30:46,2,3,Astoria,44,2.5,Tea,Brewed herbal tea,Peppermint Rg,5.0,12,Afternoon
181,2025,1900-01-01 12:30:49,1,8,Hell's Kitchen,38,3.75,Coffee,Barista Espresso,Latte,3.75,12,Afternoon
182,2025,1900-01-01 12:33:20,2,3,Astoria,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,5.0,12,Afternoon
183,2025,1900-01-01 12:33:35,2,3,Astoria,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,5.0,12,Afternoon
184,2025,1900-01-01 12:35:53,2,5,Lower Manhattan,31,2.2,Coffee,Gourmet brewed coffee,Ethiopia Sm,4.4,12,Afternoon
185,2025,1900-01-01 12:36:57,1,8,Hell's Kitchen,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,3.75,12,Afternoon
186,2025,1900-01-01 12:38:28,2,8,Hell's Kitchen,49,3.0,Tea,Brewed Black tea,English Breakfast Lg,6.0,12,Afternoon
187,2025,1900-01-01 12:42:26,1,3,Astoria,53,3.0,Tea,Brewed Chai tea,Traditional Blend Chai Lg,3.0,12,Afternoon
188,2025,1900-01-01 12:44:01,1,8,Hell's Kitchen,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,3.75,12,Afternoon
189,2025,1900-01-01 12:44:31,1,3,Astoria,53,3.0,Tea,Brewed Chai tea,Traditional Blend Chai Lg,3.0,12,Afternoon
190,2025,1900-01-01 12:44:32,1,3,Astoria,52,2.5,Tea,Brewed Chai tea,Traditional Blend Chai Rg,2.5,12,Afternoon
191,2025,1900-01-01 12:45:52,2,3,Astoria,28,2.0,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,4.0,12,Afternoon
